Protein_A,Protein_B,coexpression,experimentally_determined_interaction,database_annotated,combined_score,automated_textmining,Disease associated,Experimental System,Author,Pubmed ID
MRPS26,MRPL28,0.291,0.831,0,0.939,0.535,Endocrine,Proximity Label-MS,Antonicka H (2020),32877691
MRPS26,MRPS30,0.058,0.831,0.8,0.97,0.174,Endocrine,Proximity Label-MS,Antonicka H (2020),32877691
MRPS26,MRPS21,0.166,0.93,0.8,0.992,0.446,Endocrine,Affinity Capture-MS,Huttlin EL (2021),33961781
MRPS26,MRPS27,0.106,0.954,0.8,0.995,0.474,Endocrine,Proximity Label-MS,Antonicka H (2020),32877691
MRPS27,PTCD3,0.345,0.943,0.8,0.996,0.623,Endocrine,Affinity Capture-MS,Huttlin EL (2017),28514442
MRPS27,MRPS28,0.16,0.981,0.8,0.996,0,Endocrine,Affinity Capture-MS,Huttlin EL (2017),28514442
MRPS27,MRPS21,0.06,0.965,0.9,0.997,0.409,Endocrine,Affinity Capture-MS,Huttlin EL (2017),28514442
MRPS28,PTCD3,0.082,0.954,0.8,0.99,0,Endocrine,Affinity Capture-MS,Marcon E (2014),24981860
MRPS28,MRPS24,0.325,0.909,0.8,0.986,0,Endocrine,Affinity Capture-MS,Marcon E (2014),24981860
MRPS30,MRPL48,0.288,0.963,0,0.977,0.215,Endocrine,Affinity Capture-MS,Huttlin EL (2015),26186194
MRPS30,MRPL57,0.063,0.96,0,0.962,0.074,Endocrine,Affinity Capture-MS,Huttlin EL (2015),26186194
MRPS30,MRPL52,0.049,0.931,0,0.974,0.638,Endocrine,Affinity Capture-MS,Huttlin EL (2015),26186194
MRPS30,MRPL14,0.072,0.962,0,0.963,0,Endocrine,Affinity Capture-MS,Huttlin EL (2015),26186194
MRPS30,MRPL55,0.123,0.963,0,0.987,0.644,Endocrine,Affinity Capture-MS,Huttlin EL (2015),26186194
MRPS30,MRPL45,0.127,0.955,0,0.974,0.387,Endocrine,Affinity Capture-MS,Huttlin EL (2015),26186194
MRPS31,PTCD3,0.109,0.99,0.8,0.999,0.539,Endocrine,Affinity Capture-MS,Huttlin EL (2015),26186194
MRPS31,MRPS28,0.202,0.954,0.8,0.992,0,Endocrine,Affinity Capture-MS,Huttlin EL (2015),26186194
MRPS31,MRPS27,0.124,0.973,0.8,0.995,0,Endocrine,Affinity Capture-MS,Huttlin EL (2015),26186194
MRPS31,MRPS21,0.199,0.976,0.8,0.996,0.251,Endocrine,Affinity Capture-MS,Huttlin EL (2015),26186194
MRPS31,MRPS23,0.174,0.984,0.8,0.998,0.375,Endocrine,Affinity Capture-MS,Huttlin EL (2015),26186194
MRRF,PTCD3,0.31,0.823,0,0.93,0.474,Endocrine,Proximity Label-MS,Antonicka H (2020),32877691
MRRF,MRPS18B,0.097,0.836,0,0.871,0.201,Endocrine,Proximity Label-MS,Antonicka H (2020),32877691
MRRF,MRPS28,0.253,0.836,0,0.872,0,Endocrine,Proximity Label-MS,Antonicka H (2020),32877691
MRRF,MRPS17,0.075,0.848,0,0.885,0.246,Endocrine,Proximity Label-MS,Antonicka H (2020),32877691
MRRF,MRPL10,0.147,0.837,0,0.855,0,Endocrine,Proximity Label-MS,Antonicka H (2020),32877691
MRRF,MRPL48,0.265,0.836,0,0.877,0.058,Endocrine,Proximity Label-MS,Antonicka H (2020),32877691
MRRF,MRPS31,0.182,0.836,0,0.881,0.183,Endocrine,Proximity Label-MS,Antonicka H (2020),32877691
MRRF,MRPS24,0.101,0.836,0,0.846,0,Endocrine,Proximity Label-MS,Antonicka H (2020),32877691
MRRF,MRPS23,0.184,0.836,0,0.876,0.144,Endocrine,Proximity Label-MS,Antonicka H (2020),32877691
MRRF,GADD45GIP1,0.058,0.837,0,0.858,0.146,Endocrine,Proximity Label-MS,Antonicka H (2020),32877691
MRRF,MRPL28,0.067,0.836,0,0.841,0,Endocrine,Proximity Label-MS,Antonicka H (2020),32877691
MRRF,MRPL52,0.06,0.837,0,0.841,0,Endocrine,Proximity Label-MS,Antonicka H (2020),32877691
MRRF,MRPS26,0.083,0.831,0,0.843,0.063,Endocrine,Proximity Label-MS,Antonicka H (2020),32877691
MRRF,MRPL55,0.082,0.837,0,0.844,0,Endocrine,Proximity Label-MS,Antonicka H (2020),32877691
MRRF,MRPL37,0.157,0.819,0,0.845,0.063,Endocrine,Proximity Label-MS,Antonicka H (2020),32877691
MRRF,MRPL18,0.107,0.837,0,0.849,0,Endocrine,Proximity Label-MS,Antonicka H (2020),32877691
MRRF,MRPL50,0.198,0.836,0,0.863,0,Endocrine,Proximity Label-MS,Antonicka H (2020),32877691
MRRF,MRPL42,0.065,0.85,0,0.875,0.174,Endocrine,Proximity Label-MS,Antonicka H (2020),32877691
MRRF,MTRF1L,0.148,0.088,0.5,0.878,0.704,Endocrine,Proximity Label-MS,Antonicka H (2020),32877691
MRRF,MRPS27,0.178,0.836,0,0.883,0.202,Endocrine,Proximity Label-MS,Antonicka H (2020),32877691
MRRF,MRPL45,0.182,0.823,0,0.883,0.252,Endocrine,Proximity Label-MS,Antonicka H (2020),32877691
MRRF,MRPS30,0.151,0.836,0,0.889,0.267,Endocrine,Proximity Label-MS,Antonicka H (2020),32877691
MTRF1L,MRPS31,0.125,0.531,0,0.705,0.338,Endocrine,Proximity Label-MS,Antonicka H (2020),32877691
NUP35,NUP210,0.047,0.823,0.8,0.991,0.78,Endocrine,Proximity Label-MS,May DG (2020),32344865
NUP35,GLE1,0.138,0.361,0.4,0.862,0.632,Endocrine,Proximity Label-MS,Kim DI (2014),24927568
NUP35,RAE1,0.229,0.08,0.8,0.931,0.572,Endocrine,Proximity Label-MS,May DG (2020),32344865
NUP35,NUP50,0.135,0.359,0.8,0.966,0.733,Endocrine,Proximity Label-MS,Kim DI (2014),24927568
NUP35,NUP88,0.106,0.866,0.8,0.996,0.854,Endocrine,Proximity Label-MS,Kim DI (2014),24927568
NUP35,NDC1,0.138,0.882,0.8,0.999,0.978,Endocrine,Proximity Label-MS,Kim DI (2014),24927568
NUP35,NUP188,0.063,0.866,0.8,0.999,0.996,Endocrine,Proximity Label-MS,Kim DI (2014),24927568
NUP43,RAE1,0.164,0.136,0.8,0.879,0.263,Endocrine,Proximity Label-MS,May DG (2020),32344865
NUP43,NUP50,0.163,0.605,0.8,0.984,0.789,Endocrine,Proximity Label-MS,Kim DI (2014),24927568
NUP43,NUP88,0.135,0.847,0.8,0.991,0.728,Endocrine,Proximity Label-MS,Kim DI (2016),26912792
NUP43,SEH1L,0.274,0.986,0.9,0.999,0.997,Endocrine,Affinity Capture-MS,Huttlin EL (2015),26186194
NUP50,RAE1,0.158,0.161,0.8,0.916,0.476,Endocrine,Proximity Label-MS,Go CD (2021),34079125
NXF3,NXT1,0,0.912,0.9,0.999,0.983,Endocrine,Two-hybrid,Venkatesan K (2009),19060904
NXT1,GLE1,0,0.165,0.4,0.834,0.695,Endocrine,Affinity Capture-MS,Huttlin EL (2021),33961781
RAE1,NUP188,0.06,0.101,0.8,0.878,0.364,Endocrine,Affinity Capture-MS,Sowa ME (2009),19615732
RAE1,NUP88,0.147,0.15,0.8,0.942,0.647,Endocrine,Affinity Capture-MS,Sowa ME (2009),19615732
RAE1,SEH1L,0.262,0.15,0.8,0.964,0.751,Endocrine,Affinity Capture-MS,Sowa ME (2009),19615732
SEH1L,AAAS,0.079,0.905,0.8,0.994,0.727,Endocrine,Affinity Capture-MS,Hein MY (2015),26496610
SEH1L,NUP210,0.088,0.903,0.8,0.993,0.652,Endocrine,Affinity Capture-MS,Hein MY (2015),26496610
SEH1L,NUP35,0.211,0.88,0.8,0.994,0.734,Endocrine,Affinity Capture-MS,Hein MY (2015),26496610
SEH1L,GLE1,0.103,0.57,0.4,0.912,0.665,Endocrine,Affinity Capture-MS,Hein MY (2015),26496610
SEH1L,NDC1,0.254,0.879,0.8,0.988,0.432,Endocrine,Affinity Capture-MS,Hein MY (2015),26496610
SEH1L,NUP188,0.137,0.879,0.8,0.991,0.633,Endocrine,Affinity Capture-MS,Hein MY (2015),26496610
SEH1L,NUP88,0.135,0.891,0.8,0.993,0.681,Endocrine,Affinity Capture-MS,Hein MY (2015),26496610
ANAPC13,CDC26,0.139,0.977,0.9,0.999,0.965,Neurological diseases,Co-fractionation,Havugimana PC (2012),22939629
ANAPC15,CDC26,0.049,0.947,0.9,0.999,0.852,Neurological diseases,Affinity Capture-MS,Uzunova K (2012),23007861
ANAPC15,ANAPC13,0.049,0.929,0.9,0.998,0.867,Neurological diseases,Affinity Capture-MS,Hein MY (2015),26496610
BLM,BRIP1,0.234,0.51,0.5,0.95,0.763,Neurological diseases,Affinity Capture-Western,Suhasini AN (2011),21240188
BLM,FANCM,0.181,0.999,0.9,0.999,0.839,Neurological diseases,Affinity Capture-MS,Wan L (2013),23509288
BLM,FANCD2,0.329,0.542,0,0.933,0.8,Neurological diseases,Affinity Capture-Western,Pichierri P (2004),15257300
BLM,XRCC2,0.17,0.292,0.5,0.789,0.367,Neurological diseases,Reconstituted Complex,Braybrooke JP (2003),12975363
BLM,RBBP8,0.181,0.071,0.5,0.871,0.702,Neurological diseases,Affinity Capture-Western,Qiu Z (2022),36092721
BLM,FANCA,0.344,0.994,0,0.999,0.835,Neurological diseases,Affinity Capture-MS,Meetei AR (2003),12724401
BRCA1,ERCC1,0.055,0.439,0.54,0.93,0.747,Neurological diseases,Proximity Label-MS,Gupta R (2018),29656893
BRCA1,BRIP1,0.38,0.999,0.9,0.999,0.997,Neurological diseases,Protein-peptide,Botuyan MV (2004),15242590
BRCA1,PALB2,0.097,0.944,0.9,0.999,0.999,Neurological diseases,Affinity Capture-Western,Zhang F (2009),19268590
BRCA1,MSH3,0.084,0.313,0.54,0.91,0.725,Neurological diseases,Protein-peptide,Rodriguez M (2003),14578343
BRCA1,FANCM,0.163,0.439,0,0.916,0.835,Neurological diseases,Proximity Label-MS,Gupta R (2018),29656893
BRCA1,FANCD2,0.472,0.779,0.54,0.999,0.998,Neurological diseases,Biochemical Activity,Vandenberg CJ (2003),12887909
BRCA1,SLX4,0.067,0.439,0.5,0.905,0.681,Neurological diseases,Proximity Label-MS,Gupta R (2018),29656893
BRCA1,MUS81,0.076,0.421,0.5,0.911,0.709,Neurological diseases,Proximity Label-MS,Gupta R (2018),29656893
BRCA1,ERCC4,0.102,0.439,0.54,0.914,0.674,Neurological diseases,Proximity Label-MS,Gupta R (2018),29656893
BRCA1,FANCI,0.51,0.439,0.54,0.993,0.952,Neurological diseases,Proximity Label-MS,Gupta R (2018),29656893
BRCA1,RNF168,0.06,0.596,0.5,0.982,0.92,Neurological diseases,Proximity Label-MS,Gupta R (2018),29656893
BRCA1,FANCF,0,0.439,0,0.887,0.807,Neurological diseases,Proximity Label-MS,Gupta R (2018),29656893
BRCA1,RAD52,0.05,0.421,0.5,0.987,0.961,Neurological diseases,Proximity Label-MS,Gupta R (2018),29656893
BRCA1,FANCG,0.141,0.439,0,0.939,0.884,Neurological diseases,Proximity Label-MS,Gupta R (2018),29656893
BRCA1,BRCA2,0.383,0.896,0.9,0.999,0.999,Neurological diseases,Co-purification,Dong Y (2003),14636569
BRCA1,FANCA,0.328,0.702,0,0.995,0.977,Neurological diseases,Two-hybrid,Folias A (2002),12354784
BRCA1,EME1,0.309,0.439,0.5,0.88,0.456,Neurological diseases,Proximity Label-MS,Gupta R (2018),29656893
BRCA1,RBBP8,0.122,0.999,0.9,0.999,0.998,Neurological diseases,Protein-peptide,Rodriguez M (2003),14578343
BRCA1,FANCL,0.108,0.439,0,0.83,0.689,Neurological diseases,Proximity Label-MS,Gupta R (2018),29656893
BRCA1,FANCB,0.133,0.439,0,0.791,0.605,Neurological diseases,Proximity Label-MS,Gupta R (2018),29656893
BRCA1,ERCC5,0.074,0.292,0.54,0.911,0.739,Neurological diseases,Reconstituted Complex,Trego KS (2016),26833090
BRCA1,RAD51B,0.056,0.441,0.5,0.922,0.74,Neurological diseases,Proximity Label-MS,Gupta R (2018),29656893
BRCA2,PALB2,0.166,0.997,0.9,0.999,0.999,Neurological diseases,Affinity Capture-Western,Xia B (2006),16793542
BRCA2,FANCD2,0.217,0.842,0.9,0.999,0.999,Neurological diseases,Affinity Capture-Western,Hussain S (2004),15115758
BRCA2,FANCG,0.067,0.735,0,0.997,0.99,Neurological diseases,Affinity Capture-Western,Hussain S (2003),12915460
BRCA2,ERCC5,0.056,0.292,0.54,0.913,0.75,Neurological diseases,Affinity Capture-Western,Trego KS (2016),26833090
BRCA2,XRCC3,0.047,0.886,0.5,0.999,0.988,Neurological diseases,Affinity Capture-Western,Wilson JB (2010),20450923
BRIP1,PMS1,0.101,0.602,0,0.75,0.359,Neurological diseases,Affinity Capture-MS,Kim M (2021),34591612
BRIP1,PMS2,0.11,0.821,0.9,0.993,0.615,Neurological diseases,Affinity Capture-Western,Xie J (2010),20978114
BRIP1,FANCD2,0.209,0.515,0,0.997,0.993,Neurological diseases,Affinity Capture-Western,Clark DW (2015),26336824
BRIP1,BRCA2,0.435,0.292,0.9,0.998,0.975,Neurological diseases,Affinity Capture-Western,Kumaraswamy E (2007),17664283
BRIP1,NBN,0.063,0.994,0.5,0.998,0.548,Neurological diseases,Affinity Capture-Western,Greenberg RA (2006),16391231
C6orf226,PEX7,0.075,0.829,0,0.835,0,Neurological diseases,Affinity Capture-MS,Huttlin EL (2017),28514442
EME1,SLX4,0.083,0.783,0.4,0.999,0.998,Neurological diseases,Affinity Capture-MS,Fekairi S (2009),19596236
EME1,MUS81,0.088,0.991,0.9,0.999,0.999,Neurological diseases,Affinity Capture-MS,Fekairi S (2009),19596236
ERCC1,FANCG,0.049,0.292,0.5,0.866,0.649,Neurological diseases,Affinity Capture-Western,Wang C (2010),20518486
ERCC1,RAD52,0,0.396,0.4,0.974,0.935,Neurological diseases,Reconstituted Complex,Motycka TA (2004),14734547
ERCC1,MUS81,0.2,0.856,0.5,0.998,0.973,Neurological diseases,Affinity Capture-Western,Perez-Oliva AB (2015),25538220
ERCC1,ERCC4,0.109,0.999,0.9,0.999,0.999,Neurological diseases,Reconstituted Complex,de Laat WL (1998),9722633
ERCC1,XPA,0,0.931,0.54,0.999,0.999,Neurological diseases,Two-hybrid,Li L (1994),8197174
ERCC1,SLX4,0.086,0.899,0.5,0.999,0.997,Neurological diseases,Two-hybrid,Svendsen JM (2009),19596235
ERCC4,SLX4,0.105,0.943,0.5,0.999,0.996,Neurological diseases,Affinity Capture-Western,Svendsen JM (2009),19596235
ERCC4,FANCA,0.042,0.3,0.5,0.912,0.768,Neurological diseases,Affinity Capture-Western,Sridharan D (2003),12571280
ERCC4,RAD52,0.125,0.833,0.4,0.962,0.625,Neurological diseases,Co-purification,Motycka TA (2004),14734547
ERCC5,PALB2,0.1,0.292,0.54,0.813,0.436,Neurological diseases,Affinity Capture-Western,Trego KS (2016),26833090
FANCA,FANCM,0.113,0.994,0.9,0.999,0.999,Neurological diseases,Affinity Capture-Western,Yan Z (2010),20347428
FANCA,FANCD2,0.218,0.912,0.9,0.999,0.987,Neurological diseases,Affinity Capture-Western,Huard CC (2013),23303816
FANCA,FANCC,0.148,0.998,0.9,0.999,0.999,Neurological diseases,Affinity Capture-Western,Garcia-Higuera I (1999),10373536
FANCA,FANCF,0.049,0.998,0.9,0.999,0.999,Neurological diseases,Affinity Capture-MS,Meetei AR (2003),12973351
FANCA,FANCG,0.625,0.998,0.9,0.999,0.999,Neurological diseases,Two-hybrid,Rual JF (2005),16189514
FANCA,FANCB,0.095,0.998,0.9,0.999,0.999,Neurological diseases,Affinity Capture-Western,Yan Z (2010),20347428
FANCA,FANCL,0.067,0.998,0.9,0.999,0.999,Neurological diseases,Affinity Capture-MS,Meetei AR (2003),12973351
FANCB,FANCM,0.186,0.994,0.9,0.999,0.999,Neurological diseases,Affinity Capture-Western,Ling C (2007),17396147
FANCB,FANCC,0.058,0.998,0.9,0.999,0.998,Neurological diseases,Affinity Capture-Western,van Twest S (2017),27986371
FANCB,FANCF,0,0.998,0.9,0.999,0.999,Neurological diseases,Affinity Capture-Western,van Twest S (2017),27986371
FANCB,FANCG,0.082,0.998,0.9,0.999,0.999,Neurological diseases,Affinity Capture-Western,Ling C (2007),17396147
FANCB,FANCL,0.062,0.998,0.9,0.999,0.999,Neurological diseases,Affinity Capture-Western,Ling C (2007),17396147
FANCC,FANCM,0.097,0.994,0.9,0.999,0.998,Neurological diseases,Affinity Capture-Western,Meetei AR (2005),16116422
FANCC,FANCD2,0.101,0.911,0.9,0.999,0.98,Neurological diseases,Affinity Capture-Western,Gordon SM (2005),16127171
FANCC,FANCL,0.049,0.998,0.9,0.999,0.999,Neurological diseases,Affinity Capture-Western,Tremblay CS (2008),18550849
FANCC,FANCF,0.094,0.998,0.9,0.999,0.999,Neurological diseases,Affinity Capture-Western,de Winter JP (2000),11063725
FANCC,FANCG,0.138,0.998,0.9,0.999,0.999,Neurological diseases,Affinity Capture-Western,Tremblay CS (2008),18550849
FANCD2,NBN,0.05,0.525,0,0.858,0.711,Neurological diseases,Affinity Capture-Western,Nakanishi K (2002),12447395
FANCD2,PMS2,0.072,0.292,0.54,0.832,0.51,Neurological diseases,Affinity Capture-MS,Goold R (2021),34469738
FANCD2,FANCM,0.147,0,0.9,0.997,0.977,Neurological diseases,Affinity Capture-MS,Pladevall-Morera D (2019),31180492
FANCD2,ERCC4,0.101,0.301,0.54,0.957,0.868,Neurological diseases,Affinity Capture-MS,Unno J (2014),24794430
FANCD2,RBBP8,0.08,0.645,0,0.969,0.912,Neurological diseases,Co-localization,Murina O (2014),24794434
FANCD2,SLX4,0.098,0.51,0.5,0.992,0.971,Neurological diseases,Affinity Capture-MS,Unno J (2014),24794430
FANCD2,FANCB,0.269,0.8,0.9,0.999,0.945,Neurological diseases,Affinity Capture-MS,Pladevall-Morera D (2019),31180492
FANCD2,FANCF,0,0.8,0.9,0.999,0.971,Neurological diseases,Affinity Capture-MS,Pladevall-Morera D (2019),31180492
FANCD2,FANCG,0.162,0.854,0.9,0.999,0.994,Neurological diseases,Affinity Capture-Western,Wilson JB (2008),18212739
FANCD2,FANCI,0.561,0.996,0.9,0.999,0.999,Neurological diseases,Affinity Capture-Western,Rego MA (2012),22855611
FANCD2,FANCL,0.063,0.98,0.9,0.999,0.988,Neurological diseases,Protein-peptide,Hodson C (2011),21775430
FANCF,FANCM,0,0.994,0.9,0.999,0.999,Neurological diseases,Affinity Capture-Western,Deans AJ (2009),20064461
FANCF,FANCG,0.067,0.998,0.9,0.999,0.999,Neurological diseases,Affinity Capture-Western,Leveille F (2004),15262960
FANCF,FANCL,0.044,0.998,0.9,0.999,0.999,Neurological diseases,Affinity Capture-Western,Medhurst AL (2006),16720839
FANCG,FANCM,0.062,0.994,0.9,0.999,0.998,Neurological diseases,Affinity Capture-Western,Singh TR (2010),20347429
FANCG,ERCC4,0,0.254,0.5,0.879,0.703,Neurological diseases,Two-hybrid,Wang C (2010),20518486
FANCG,BLM,0.203,0.994,0,0.999,0.809,Neurological diseases,Affinity Capture-Western,Meetei AR (2003),12724401
FANCG,XRCC3,0.255,0.625,0,0.984,0.948,Neurological diseases,Affinity Capture-Western,Wilson JB (2008),18212739
FANCG,FANCL,0.134,0.998,0.9,0.999,0.999,Neurological diseases,Affinity Capture-Western,Singh TR (2010),20347429
FANCI,PMS2,0.06,0.292,0.54,0.866,0.614,Neurological diseases,Affinity Capture-MS,Goold R (2021),34469738
FANCI,BRCA2,0.295,0.23,0.54,0.996,0.987,Neurological diseases,Two-hybrid,Siddiqui MQ (2017),28684355
FANCI,FANCL,0.11,0.967,0.9,0.999,0.987,Neurological diseases,Protein-peptide,Hodson C (2011),21775430
FANCL,FANCM,0.085,0.994,0.9,0.999,0.999,Neurological diseases,Affinity Capture-Western,Singh TR (2010),20347429
FANCM,FANCI,0.188,0.292,0.9,0.998,0.983,Neurological diseases,Affinity Capture-Western,Pradhan A (2016),26625197
LIG4,XRCC4,0.083,0.997,0.9,0.999,0.999,Neurological diseases,Co-crystal Structure,Sibanda BL (2001),11702069
MLH3,XPA,0.049,0.145,0.54,0.749,0.407,Neurological diseases,Two-hybrid,Arroyo R (2014),24412244
MSH3,XPA,0.103,0.334,0.54,0.904,0.693,Neurological diseases,Reconstituted Complex,Zhao J (2009),19468048
MUS81,FANCD2,0.086,0,0.5,0.937,0.874,Neurological diseases,Synthetic Growth Defect,Vizeacoumar FJ (2013),24104479
MUS81,SLX4,0.111,0.992,0.4,0.999,0.999,Neurological diseases,Affinity Capture-Western,Wan B (2013),24012755
MUS81,ERCC4,0,0.767,0.5,0.994,0.953,Neurological diseases,Affinity Capture-MS,Huttlin EL (2017),28514442
NBN,LIG4,0.084,0,0,0.821,0.813,Neurological diseases,Co-fractionation,Havugimana PC (2022),35831314
NBN,RBBP8,0.087,0.935,0.54,0.999,0.978,Neurological diseases,Affinity Capture-Western,Chen L (2008),18171670
NHEJ1,XRCC4,0.049,0.988,0.9,0.999,0.999,Neurological diseases,Two-hybrid,Deshpande RA (2007),17567543
NHEJ1,LIG4,0.049,0.964,0.9,0.999,0.999,Neurological diseases,Affinity Capture-Western,Deshpande RA (2007),17567543
PALB2,RAD51AP1,0.182,0.292,0.8,0.952,0.638,Neurological diseases,Reconstituted Complex,Dray E (2010),20871616
PALB2,BRIP1,0.149,0.292,0.9,0.998,0.98,Neurological diseases,Affinity Capture-Western,Sy SM (2009),19369211
PALB2,XRCC3,0.085,0.294,0.5,0.91,0.749,Neurological diseases,Reconstituted Complex,Park JY (2014),24141787
PALB2,RNF168,0.044,0.292,0,0.918,0.889,Neurological diseases,Reconstituted Complex,Luijsterburg MS (2017),28240985
PALB2,RBBP8,0.115,0.398,0.577,0.953,0.816,Neurological diseases,Affinity Capture-Western,Sy SM (2009),19369211
PALB2,RAD51C,0.088,0.294,0.9,0.999,0.995,Neurological diseases,Affinity Capture-Western,Park JY (2014),24141787
PCGF6,TFDP1,0.061,0.813,0.5,0.963,0.638,Neurological diseases,Affinity Capture-MS,Gao Z (2012),22325352
PCGF6,RING1,0.055,0.899,0.9,0.999,0.997,Neurological diseases,Affinity Capture-MS,Gao Z (2012),22325352
PMS1,BRCA2,0.056,0.142,0.54,0.843,0.629,Neurological diseases,Affinity Capture-Western,Cannavo E (2007),17148452
PMS2,MSH3,0.607,0.492,0.54,0.999,0.997,Neurological diseases,Affinity Capture-MS,Cannavo E (2007),17148452
PMS2,BRCA2,0.049,0.142,0.54,0.947,0.875,Neurological diseases,Affinity Capture-MS,Cannavo E (2007),17148452
RAD51B,RAD51C,0.049,0.93,0.9,0.999,0.987,Neurological diseases,Affinity Capture-Western,Sigurdsson S (2001),11751636
RAD51B,XRCC2,0.066,0.844,0.9,0.999,0.989,Neurological diseases,Affinity Capture-Western,Miller KA (2002),11744692
RAD51B,RAD51D,0.1,0.812,0.9,0.999,0.991,Neurological diseases,Affinity Capture-Western,Miller KA (2002),11744692
RAD51C,XRCC2,0.158,0.855,0.9,0.999,0.989,Neurological diseases,Affinity Capture-Western,Miller KA (2002),11744692
RAD51C,BRCA2,0.067,0.635,0.9,0.999,0.976,Neurological diseases,Affinity Capture-MS,Park JY (2014),24141787
RAD51C,RAD51D,0.095,0.882,0.9,0.999,0.991,Neurological diseases,Affinity Capture-Western,Miller KA (2002),11744692
RAD51C,XRCC3,0.093,0.988,0.9,0.999,0.99,Neurological diseases,Two-hybrid,Hussain S (2004),15115758
RAD51D,BRIP1,0.092,0.163,0.5,0.839,0.62,Neurological diseases,Affinity Capture-MS,Huttlin EL (2017),28514442
RAD51D,BLM,0.089,0.569,0.5,0.868,0.407,Neurological diseases,Two-hybrid,Braybrooke JP (2003),12975363
RAD51D,XRCC2,0.114,0.949,0.9,0.999,0.999,Neurological diseases,Two-hybrid,Braybrooke JP (2003),12975363
RAD51D,FANCA,0.06,0.162,0,0.704,0.655,Neurological diseases,Affinity Capture-Luminescence,Karras GI (2017),28215707
RAD52,BRCA2,0.056,0.225,0,0.993,0.991,Neurological diseases,Phenotypic Enhancement,Stefanovie B (2020),31799622
RING1,TFDP1,0,0.308,0.5,0.795,0.456,Neurological diseases,Affinity Capture-MS,Hauri S (2016),27705803
RNF168,BRCA2,0.044,0.292,0,0.796,0.723,Neurological diseases,Affinity Capture-Western,Luijsterburg MS (2017),28240985
SLX1A,ERCC1,0.107,0.499,0.5,0.994,0.979,Neurological diseases,Reconstituted Complex,Munoz IM (2009),19595721
SLX1A,EME1,0,0.42,0.4,0.997,0.992,Neurological diseases,Reconstituted Complex,Munoz IM (2009),19595721
SLX1A,ERCC4,0.086,0.618,0.5,0.998,0.991,Neurological diseases,Reconstituted Complex,Munoz IM (2009),19595721
SLX1A,MUS81,0.157,0.618,0.4,0.999,0.997,Neurological diseases,Reconstituted Complex,Munoz IM (2009),19595721
SLX1A,SLX4,0.111,0.876,0.9,0.999,0.999,Neurological diseases,Reconstituted Complex,Munoz IM (2009),19595721
SLX4,MSH3,0.055,0.292,0,0.967,0.954,Neurological diseases,Affinity Capture-MS,Svendsen JM (2009),19596235
SLX4,NBN,0,0.292,0.5,0.703,0.231,Neurological diseases,Affinity Capture-Western,Ouyang J (2015),25533185
XPA,ERCC4,0.049,0.907,0.54,0.999,0.99,Neurological diseases,Affinity Capture-MS,Huttlin EL (2015),26186194
XPA,ERCC5,0.107,0.07,0.8,0.992,0.959,Neurological diseases,Co-fractionation,Havugimana PC (2022),35831314
XRCC3,FANCA,0.336,0.162,0,0.799,0.668,Neurological diseases,Affinity Capture-Luminescence,Karras GI (2017),28215707
ATG7,RB1CC1,0,0.064,0,0.915,0.913,Cancer,Phenotypic Enhancement,Ohnstad AE (2020),33226137
BANP,TP53,0,0.625,0.7,0.944,0.55,Cancer,Reconstituted Complex,Pavithra L (2009),19303885
BRAF,PIK3CA,0.128,0.19,0,0.947,0.931,Cancer,Negative Genetic,Shen JP (2017),28319113
BRAF,RPS6KB2,0.062,0.591,0,0.927,0.825,Cancer,Affinity Capture-Western,Pardo OE (2006),16810323
BRAF,GNAS,0,0.252,0,0.761,0.694,Cancer,Affinity Capture-MS,Eisenhardt AE (2016),27034005
BRAF,FBXW7,0.067,0.328,0,0.799,0.705,Cancer,Affinity Capture-Western,Hernandez MA (2016),26898828
CUL2,VHL,0.06,0.999,0.8,0.999,0.997,Cancer,Reconstituted Complex,Kamura T (2001),11384984
CUL2,ZYG11B,0.06,0.448,0.9,0.99,0.832,Cancer,Affinity Capture-MS,Bennett EJ (2010),21145461
CUL2,KLHDC3,0,0.82,0.9,0.987,0.355,Cancer,Affinity Capture-MS,Bennett EJ (2010),21145461
CUL5,RNF7,0.06,0.994,0.9,0.999,0.998,Cancer,Affinity Capture-MS,Bennett EJ (2010),21145461
CUL5,DDB1,0.095,0.073,0,0.748,0.723,Cancer,Affinity Capture-MS,Bennett EJ (2010),21145461
CUL5,CUL2,0.145,0.138,0,0.961,0.949,Cancer,Affinity Capture-MS,Bennett EJ (2010),21145461
CUL9,TP53,0.103,0.898,0,0.971,0.714,Cancer,Affinity Capture-Western,Nikolaev AY (2003),12526791
DCUN1D2,CUL5,0.2,0.634,0,0.764,0.259,Cancer,Reconstituted Complex,Monda JK (2013),23201271
DCUN1D2,CUL2,0.093,0.735,0.5,0.895,0.23,Cancer,Reconstituted Complex,Monda JK (2013),23201271
DDB1,RNF7,0.049,0.108,0,0.889,0.879,Cancer,Co-fractionation,Havugimana PC (2022),35831314
DDB1,MTOR,0.049,0.994,0,0.995,0.225,Cancer,Affinity Capture-Western,Hussain S (2013),23297343
EPAS1,VHL,0,0.993,0.9,0.999,0.966,Cancer,Affinity Capture-Western,Ohh M (2000),10878807
EPAS1,CUL2,0,0.233,0.9,0.967,0.614,Cancer,Affinity Capture-MS,Marcon E (2014),24981860
